hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
WARNING: No 'gr_restart/stFile_last.bin' file to restart simulation from; Resetting restart flag to false---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 GR 1-1  1.300e-01  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 1-2  2.600e-01  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 1-3  3.850e-01  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 1-4  5.100e-01  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 1-5  6.340e-01  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 1-6  7.580e-01  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 1-7  8.820e-01  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 1-8  1.006e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 1-9  1.131e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 1-10s 1.259e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 0]
