hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 GR 2-1  1.385e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 0]
 GR 2-2  1.514e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 0]
 GR 2-3  1.638e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 0]
 GR 2-4  1.762e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 0]
 GR 2-5  1.886e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 2-6  2.010e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 2-7  2.134e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 0]
 GR 2-8  2.259e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
 GR 2-9  2.382e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 0]
 GR 2-10s 2.510e+00  [0 1.000e+00 1.000e+00 9.488e-02]  [3 -24 1]
