---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 651-1  9.539e+02  [0 1.000e+00 1.118e-05 3.313e-07]  [46 -149 0]
 NS 651-2  9.544e+02  [-7 4.270e-01 4.776e-06 7.910e-07]  [42 -140 72]
 NS 651-3s 9.548e+02  [-23 6.893e-02 7.709e-07 9.253e-07]  [39 -139 71]
 NS 652-1  9.554e+02  [0 1.000e+00 8.238e-06 5.877e-07]  [45 -143 69]
 NS 652-2  9.558e+02  [-10 3.140e-01 2.587e-06 9.841e-07]  [41 -138 73]
 NS 652-3s 9.563e+02  [-26 4.584e-02 3.776e-07 8.414e-07]  [39 -140 71]
 NS 653-1  9.568e+02  [0 1.000e+00 8.666e-06 8.929e-07]  [45 -139 70]
 NS 653-2  9.573e+02  [-15 1.649e-01 1.429e-06 7.269e-07]  [42 -141 73]
 NS 653-3s 9.578e+02  [-33 2.221e-02 1.925e-07 2.804e-07]  [41 -151 71]
 NS 654-1  9.583e+02  [0 1.000e+00 7.557e-06 3.707e-07]  [45 -148 69]
 NS 654-2s 9.588e+02  [-19 1.033e-01 7.808e-07 7.522e-07]  [41 -141 72]
 NS 655-1  9.593e+02  [0 1.000e+00 5.792e-06 3.623e-07]  [45 -148 70]
 NS 655-2s 9.598e+02  [-23 7.040e-02 4.078e-07 9.283e-07]  [40 -139 71]
 NS 656-1  9.603e+02  [0 1.000e+00 4.081e-06 3.981e-07]  [45 -147 69]
 NS 656-2s 9.608e+02  [-26 4.981e-02 2.032e-07 6.437e-07]  [41 -143 72]
 NS 657-1  9.613e+02  [0 1.000e+00 2.725e-06 4.669e-07]  [45 -146 68]
 NS 657-2s 9.618e+02  [-28 3.666e-02 9.988e-08 9.561e-07]  [40 -139 71]
 NS 658-1  9.624e+02  [0 1.000e+00 1.757e-06 3.197e-07]  [45 -150 69]
 NS 658-2s 9.629e+02  [-30 3.036e-02 5.335e-08 8.575e-07]  [47 -140 74]
 NS 659-1  9.634e+02  [0 1.000e+00 1.106e-06 3.115e-07]  [45 -150 69]
 NS 659-2s 9.639e+02  [-30 2.993e-02 3.311e-08 9.730e-07]  [43 -138 72]
 NS 660-1s 9.644e+02  [0 1.000e+00 6.820e-07 2.752e-07]  [45 -151 68]
