hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 41-1  5.583e+01  [0 1.000e+00 1.790e-04 4.849e-07]  [45 -145 1]
 NS 41-2  5.629e+01  [-4 5.923e-01 1.060e-04 5.601e-07]  [39 -144 70]
 NS 41-3  5.677e+01  [-24 5.671e-02 1.015e-05 2.791e-07]  [42 -151 73]
 NS 41-4  5.722e+01  [-44 6.089e-03 1.090e-06 7.353e-07]  [38 -141 72]
 NS 41-5s 5.770e+01  [-62 7.220e-04 1.292e-07 9.219e-07]  [40 -139 72]
 NS 42-1  5.819e+01  [0 1.000e+00 5.844e-04 8.702e-07]  [39 -140 66]
 NS 42-2  5.866e+01  [-21 8.427e-02 4.925e-05 3.418e-07]  [42 -149 73]
 NS 42-3  5.915e+01  [-41 8.011e-03 4.682e-06 1.770e-07]  [43 -155 73]
 NS 42-4s 5.960e+01  [-60 9.431e-04 5.512e-07 9.628e-07]  [38 -139 70]
 NS 43-1  6.008e+01  [0 1.000e+00 6.731e-04 6.150e-07]  [39 -143 66]
 NS 43-2  6.054e+01  [-29 3.185e-02 2.144e-05 4.929e-07]  [41 -145 72]
 NS 43-3  6.102e+01  [-50 3.099e-03 2.086e-06 1.657e-07]  [43 -156 73]
 NS 43-4s 6.149e+01  [-68 3.844e-04 2.588e-07 8.604e-07]  [41 -140 72]
 NS 44-1  6.198e+01  [0 1.000e+00 5.840e-04 5.698e-07]  [39 -144 66]
 NS 44-2  6.245e+01  [-36 1.561e-02 9.116e-06 6.933e-07]  [41 -142 72]
 NS 44-3s 6.293e+01  [-55 1.681e-03 9.816e-07 4.624e-07]  [42 -146 72]
 NS 45-1  6.342e+01  [0 1.000e+00 4.430e-04 5.472e-07]  [39 -144 66]
 NS 45-2  6.390e+01  [-40 9.722e-03 4.307e-06 7.727e-07]  [42 -141 73]
 NS 45-3s 6.437e+01  [-58 1.150e-03 5.096e-07 5.729e-07]  [41 -144 71]
 NS 46-1  6.486e+01  [0 1.000e+00 3.111e-04 5.491e-07]  [39 -144 67]
 NS 46-2  6.532e+01  [-42 7.940e-03 2.470e-06 2.702e-07]  [41 -151 72]
 NS 46-3s 6.581e+01  [-61 8.856e-04 2.755e-07 2.183e-07]  [43 -153 72]
 NS 47-1  6.629e+01  [0 1.000e+00 2.073e-04 5.404e-07]  [39 -144 66]
 NS 47-2  6.675e+01  [-42 7.224e-03 1.497e-06 5.181e-07]  [40 -145 72]
 NS 47-3s 6.722e+01  [-63 6.946e-04 1.440e-07 4.070e-07]  [41 -147 71]
 NS 48-1  6.771e+01  [0 1.000e+00 1.330e-04 5.350e-07]  [39 -144 66]
 NS 48-2s 6.817e+01  [-43 6.427e-03 8.550e-07 5.077e-07]  [40 -145 71]
 NS 49-1  6.865e+01  [0 1.000e+00 8.300e-05 5.341e-07]  [39 -144 66]
 NS 49-2s 6.913e+01  [-45 5.568e-03 4.621e-07 4.104e-07]  [42 -147 72]
 NS 50-1  6.962e+01  [0 1.000e+00 5.062e-05 5.302e-07]  [39 -144 67]
 NS 50-2s 7.010e+01  [-46 4.694e-03 2.376e-07 1.996e-07]  [42 -154 72]
