---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 GR 1-1  2.330e-01  [-2147483648  nan  nan  nan]  [1 -2147483648 26]
 GR 1-2  3.970e-01  [-2147483648  nan  nan  nan]  [1 -2147483648 33]
 GR 1-3  5.630e-01  [-2147483648  nan  nan  nan]  [1 -2147483648 34]
 GR 1-4  7.310e-01  [-2147483648  nan  nan  nan]  [1 -2147483648 32]
 GR 1-5  8.940e-01  [-2147483648  nan  nan  nan]  [1 -2147483648 33]
 GR 1-6  1.058e+00  [-2147483648  nan  nan  nan]  [1 -2147483648 33]
 GR 1-7  1.221e+00  [-2147483648  nan  nan  nan]  [1 -2147483648 33]
 GR 1-8  1.384e+00  [-2147483648  nan  nan  nan]  [1 -2147483648 33]
 GR 1-9  1.547e+00  [-2147483648  nan  nan  nan]  [1 -2147483648 33]
 GR 1-10s 1.714e+00  [-2147483648  nan  nan  nan]  [1 -2147483648 32]
