---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  4.350e-01  [0 1.000e+00 1.000e+00 4.470e-07]  [47 -146 61]
 NS 1-2  7.560e-01  [-66 4.812e-04 4.812e-04 9.516e-07]  [45 -139 75]
 NS 1-3  1.078e+00  [-84 6.023e-05 6.023e-05 9.030e-07]  [47 -139 74]
 NS 1-4  1.416e+00  [-111 2.685e-06 2.685e-06 2.688e-07]  [48 -151 73]
 NS 1-5s 1.765e+00  [-130 2.869e-07 2.869e-07 7.269e-07]  [47 -141 74]
 NS 2-1  2.142e+00  [0 1.000e+00 3.067e-01 8.350e-07]  [52 -140 70]
 NS 2-2  2.506e+00  [-60 9.551e-04 2.929e-04 6.429e-07]  [53 -143 79]
 NS 2-3  2.849e+00  [-85 5.191e-05 1.592e-05 3.553e-07]  [52 -149 77]
 NS 2-4  3.184e+00  [-101 8.718e-06 2.673e-06 7.975e-07]  [51 -140 77]
 NS 2-5s 3.544e+00  [-126 4.811e-07 1.475e-07 7.392e-07]  [52 -141 78]
 NS 3-1  3.930e+00  [0 1.000e+00 1.484e-01 6.380e-07]  [55 -143 71]
 NS 3-2  4.301e+00  [-54 1.976e-03 2.932e-04 4.102e-07]  [56 -147 79]
 NS 3-3  4.673e+00  [-78 1.185e-04 1.759e-05 7.196e-07]  [58 -141 80]
 NS 3-4  5.046e+00  [-93 2.148e-05 3.188e-06 8.711e-07]  [59 -140 80]
 NS 3-5s 5.440e+00  [-114 1.880e-06 2.789e-07 5.246e-07]  [58 -145 79]
 NS 4-1  5.870e+00  [0 1.000e+00 6.544e-02 8.557e-07]  [63 -140 73]
 NS 4-2  6.266e+00  [-50 2.977e-03 1.948e-04 2.812e-07]  [63 -151 81]
 NS 4-3  6.778e+00  [-66 4.676e-04 3.060e-05 8.004e-07]  [67 -140 69]
 NS 4-4  7.215e+00  [-86 4.974e-05 3.255e-06 5.894e-07]  [69 -143 83]
 NS 4-5s 7.664e+00  [-103 6.413e-06 4.197e-07 2.664e-07]  [73 -151 81]
 NS 5-1  8.123e+00  [0 1.000e+00 2.679e-02 9.244e-07]  [69 -139 75]
 NS 5-2  8.576e+00  [-45 5.459e-03 1.462e-04 3.168e-07]  [73 -150 84]
 NS 5-3  9.017e+00  [-63 6.615e-04 1.772e-05 8.615e-07]  [70 -140 82]
 NS 5-4  9.466e+00  [-78 1.244e-04 3.331e-06 3.403e-07]  [74 -149 83]
 NS 5-5s 9.927e+00  [-99 1.030e-05 2.758e-07 8.659e-07]  [75 -140 84]
 NS 6-1  1.044e+01  [0 1.000e+00 2.127e-02 4.795e-07]  [79 -146 79]
 NS 6-2  1.098e+01  [-46 4.868e-03 1.035e-04 7.312e-07]  [81 -141 87]
 NS 6-3  1.147e+01  [-60 9.629e-04 2.048e-05 5.691e-07]  [82 -144 85]
 NS 6-4  1.195e+01  [-81 8.360e-05 1.778e-06 2.949e-07]  [79 -150 85]
 NS 6-5s 1.245e+01  [-94 1.795e-05 3.818e-07 4.718e-07]  [80 -146 83]
 NS 7-1  1.301e+01  [0 1.000e+00 8.531e-03 1.412e-07]  [87 -158 80]
 NS 7-2  1.352e+01  [-41 8.729e-03 7.447e-05 7.534e-07]  [84 -141 86]
 NS 7-3  1.401e+01  [-55 1.595e-03 1.360e-05 6.155e-07]  [82 -143 85]
 NS 7-4  1.454e+01  [-73 2.044e-04 1.744e-06 6.172e-07]  [83 -143 85]
 NS 7-5s 1.508e+01  [-91 2.536e-05 2.163e-07 7.743e-07]  [88 -141 85]
 NS 8-1  1.563e+01  [0 1.000e+00 1.210e-02 4.955e-07]  [88 -145 80]
 NS 8-2  1.616e+01  [-45 5.304e-03 6.419e-05 8.776e-07]  [86 -139 85]
 NS 8-3  1.668e+01  [-61 8.415e-04 1.018e-05 7.744e-07]  [88 -141 86]
 NS 8-4s 1.722e+01  [-82 7.140e-05 8.641e-07 4.285e-07]  [90 -147 84]
 NS 9-1  1.780e+01  [0 1.000e+00 6.923e-03 9.954e-07]  [91 -138 80]
 NS 9-2  1.834e+01  [-44 6.274e-03 4.344e-05 6.070e-07]  [91 -143 86]
 NS 9-3  1.890e+01  [-60 9.834e-04 6.809e-06 6.866e-07]  [95 -142 86]
 NS 9-4s 1.945e+01  [-79 1.010e-04 6.990e-07 3.838e-07]  [92 -148 84]
 NS 10-1  2.003e+01  [0 1.000e+00 7.501e-03 8.980e-07]  [91 -139 78]
 NS 10-2  2.055e+01  [-43 6.575e-03 4.931e-05 8.678e-07]  [89 -140 85]
 NS 10-3  2.110e+01  [-64 5.704e-04 4.279e-06 9.990e-07]  [95 -138 87]
 NS 10-4s 2.164e+01  [-84 6.240e-05 4.681e-07 8.602e-07]  [90 -140 85]
 NS 11-1  2.223e+01  [0 1.000e+00 4.536e-03 8.595e-07]  [92 -140 80]
 NS 11-2  2.277e+01  [-41 8.021e-03 3.638e-05 8.958e-07]  [95 -139 86]
 NS 11-3  2.337e+01  [-66 4.987e-04 2.262e-06 5.205e-07]  [106 -145 87]
 NS 11-4s 2.393e+01  [-82 7.298e-05 3.310e-07 9.569e-07]  [95 -139 86]
 NS 12-1  2.453e+01  [0 1.000e+00 3.631e-03 5.249e-07]  [95 -145 81]
 NS 12-2  2.503e+01  [-39 1.041e-02 3.780e-05 9.000e-07]  [84 -139 85]
 NS 12-3  2.563e+01  [-67 4.206e-04 1.527e-06 9.480e-07]  [104 -139 87]
 NS 12-4s 2.624e+01  [-81 8.524e-05 3.095e-07 6.624e-07]  [104 -142 86]
